,a,b
afrimgsm_amh_0,0.79315966,-0.3160993
afrimgsm_amh_1,0.681165,1.1876816
afrimgsm_amh_10,0.79315966,-0.3160993
afrimgsm_amh_100,0.681165,1.1876816
afrimgsm_amh_101,0.79315966,-0.3160993
afrimgsm_amh_102,0.79315966,-0.3160993
afrimgsm_amh_103,0.79315966,-0.3160993
afrimgsm_amh_104,0.79315966,-0.3160993
afrimgsm_amh_105,0.79315966,-0.3160993
afrimgsm_amh_106,0.69851464,0.20161274
afrimgsm_amh_107,0.681165,1.1876816
afrimgsm_amh_108,0.79315966,-0.3160993
afrimgsm_amh_109,0.681165,1.1876816
afrimgsm_amh_11,0.68251354,0.694715
afrimgsm_amh_110,0.79315966,-0.3160993
afrimgsm_amh_111,0.681165,1.1876816
afrimgsm_amh_112,0.79315966,-0.3160993
afrimgsm_amh_113,0.79315966,-0.3160993
afrimgsm_amh_114,0.79315966,-0.3160993
afrimgsm_amh_115,0.79315966,-0.3160993
afrimgsm_amh_116,0.79315966,-0.3160993
afrimgsm_amh_117,0.72505677,0.21326363
afrimgsm_amh_118,0.79315966,-0.3160993
afrimgsm_amh_119,0.681165,1.1876816
afrimgsm_amh_12,0.681165,1.1876816
afrimgsm_amh_120,0.681165,1.1876816
afrimgsm_amh_121,0.79315966,-0.3160993
afrimgsm_amh_122,0.79315966,-0.3160993
afrimgsm_amh_123,0.72505677,0.21326363
afrimgsm_amh_124,0.79315966,-0.3160993
afrimgsm_amh_125,0.79315966,-0.3160993
afrimgsm_amh_126,0.79315966,-0.3160993
afrimgsm_amh_127,0.79315966,-0.3160993
afrimgsm_amh_128,0.79315966,-0.3160993
afrimgsm_amh_129,0.72505677,0.21326363
afrimgsm_amh_13,0.72505677,0.21326363
afrimgsm_amh_130,0.79315966,-0.3160993
afrimgsm_amh_131,0.79315966,-0.3160993
afrimgsm_amh_132,0.79315966,-0.3160993
afrimgsm_amh_133,0.79315966,-0.3160993
afrimgsm_amh_134,0.79315966,-0.3160993
afrimgsm_amh_135,0.72505677,0.21326363
afrimgsm_amh_136,0.79315966,-0.3160993
afrimgsm_amh_137,0.681165,1.1876816
afrimgsm_amh_138,0.79315966,-0.3160993
afrimgsm_amh_139,0.79315966,-0.3160993
afrimgsm_amh_14,0.681165,1.1876816
afrimgsm_amh_140,0.79315966,-0.3160993
afrimgsm_amh_141,0.79315966,-0.3160993
afrimgsm_amh_142,0.79315966,-0.3160993
afrimgsm_amh_143,0.79315966,-0.3160993
afrimgsm_amh_144,0.79315966,-0.3160993
afrimgsm_amh_145,0.79315966,-0.3160993
afrimgsm_amh_146,0.79315966,-0.3160993
afrimgsm_amh_147,0.65456736,0.67088765
afrimgsm_amh_148,0.79315966,-0.3160993
afrimgsm_amh_149,0.79315966,-0.3160993
afrimgsm_amh_15,0.79315966,-0.3160993
afrimgsm_amh_150,0.79315966,-0.3160993
afrimgsm_amh_151,0.68251354,0.694715
afrimgsm_amh_152,0.681165,1.1876816
afrimgsm_amh_153,0.6794138,0.69208974
afrimgsm_amh_154,0.79315966,-0.3160993
afrimgsm_amh_155,0.79315966,-0.3160993
afrimgsm_amh_156,0.72505677,0.21326363
afrimgsm_amh_157,0.79315966,-0.3160993
afrimgsm_amh_158,0.79315966,-0.3160993
afrimgsm_amh_159,0.681165,1.1876816
afrimgsm_amh_16,0.79315966,-0.3160993
afrimgsm_amh_160,0.79315966,-0.3160993
afrimgsm_amh_161,0.79315966,-0.3160993
afrimgsm_amh_162,0.6794138,0.69208974
afrimgsm_amh_163,0.72505677,0.21326363
afrimgsm_amh_164,0.79315966,-0.3160993
afrimgsm_amh_165,0.7054685,-0.8489991
afrimgsm_amh_166,0.79315966,-0.3160993
afrimgsm_amh_167,0.79315966,-0.3160993
afrimgsm_amh_168,0.79315966,-0.3160993
afrimgsm_amh_169,0.79315966,-0.3160993
afrimgsm_amh_17,0.7054685,-0.8489991
afrimgsm_amh_170,0.69548357,0.2002947
afrimgsm_amh_171,0.79315966,-0.3160993
afrimgsm_amh_172,0.79315966,-0.3160993
afrimgsm_amh_173,0.79315966,-0.3160993
afrimgsm_amh_174,0.65456736,0.67088765
afrimgsm_amh_175,0.79315966,-0.3160993
afrimgsm_amh_176,0.79315966,-0.3160993
afrimgsm_amh_177,0.72505677,0.21326363
afrimgsm_amh_178,0.72505677,0.21326363
afrimgsm_amh_179,0.79315966,-0.3160993
afrimgsm_amh_18,0.7054685,-0.8489991
afrimgsm_amh_180,0.79315966,-0.3160993
afrimgsm_amh_181,0.681165,1.1876816
afrimgsm_amh_182,0.72505677,0.21326363
afrimgsm_amh_183,0.79315966,-0.3160993
afrimgsm_amh_184,0.681165,1.1876816
afrimgsm_amh_185,0.681165,1.1876816
afrimgsm_amh_186,0.79315966,-0.3160993
afrimgsm_amh_187,0.69548357,0.2002947
afrimgsm_amh_188,0.79315966,-0.3160993
afrimgsm_amh_189,0.65456736,0.67088765
afrimgsm_amh_19,0.79315966,-0.3160993
afrimgsm_amh_190,0.79315966,-0.3160993
afrimgsm_amh_191,0.79315966,-0.3160993
afrimgsm_amh_192,0.79315966,-0.3160993
afrimgsm_amh_193,0.69548357,0.2002947
afrimgsm_amh_194,0.7054685,-0.8489991
afrimgsm_amh_195,0.681165,1.1876816
afrimgsm_amh_196,0.79315966,-0.3160993
afrimgsm_amh_197,0.79315966,-0.3160993
afrimgsm_amh_198,0.79315966,-0.3160993
afrimgsm_amh_199,0.69851464,0.20161274
afrimgsm_amh_2,0.72505677,0.21326363
afrimgsm_amh_20,0.79315966,-0.3160993
afrimgsm_amh_200,0.7054685,-0.8489991
afrimgsm_amh_201,0.79315966,-0.3160993
afrimgsm_amh_202,0.79315966,-0.3160993
afrimgsm_amh_203,0.6794138,0.69208974
afrimgsm_amh_204,0.79315966,-0.3160993
afrimgsm_amh_205,0.72505677,0.21326363
afrimgsm_amh_206,0.79315966,-0.3160993
afrimgsm_amh_207,0.69548357,0.2002947
afrimgsm_amh_208,0.79315966,-0.3160993
afrimgsm_amh_209,0.79315966,-0.3160993
afrimgsm_amh_21,0.79315966,-0.3160993
afrimgsm_amh_210,0.79315966,-0.3160993
afrimgsm_amh_211,0.69851464,0.20161274
afrimgsm_amh_212,0.79315966,-0.3160993
afrimgsm_amh_213,0.79315966,-0.3160993
afrimgsm_amh_214,0.79315966,-0.3160993
afrimgsm_amh_215,0.7054685,-0.8489991
afrimgsm_amh_216,0.79315966,-0.3160993
afrimgsm_amh_217,0.79315966,-0.3160993
afrimgsm_amh_218,0.79315966,-0.3160993
afrimgsm_amh_219,0.69548357,0.2002947
afrimgsm_amh_22,0.79315966,-0.3160993
afrimgsm_amh_220,0.681165,1.1876816
afrimgsm_amh_221,0.79315966,-0.3160993
afrimgsm_amh_222,0.68251354,0.694715
afrimgsm_amh_223,0.69548357,0.2002947
afrimgsm_amh_224,0.79315966,-0.3160993
afrimgsm_amh_225,0.681165,1.1876816
afrimgsm_amh_226,0.79315966,-0.3160993
afrimgsm_amh_227,0.5167476,0.5484656
afrimgsm_amh_228,0.7054685,-0.8489991
afrimgsm_amh_229,0.79315966,-0.3160993
afrimgsm_amh_23,0.79315966,-0.3160993
afrimgsm_amh_230,0.69548357,0.2002947
afrimgsm_amh_231,0.72505677,0.21326363
afrimgsm_amh_232,0.681165,1.1876816
afrimgsm_amh_233,0.79315966,-0.3160993
afrimgsm_amh_234,0.79315966,-0.3160993
afrimgsm_amh_235,0.79315966,-0.3160993
afrimgsm_amh_236,0.72505677,0.21326363
afrimgsm_amh_237,0.7054685,-0.8489991
afrimgsm_amh_238,0.6794138,0.69208974
