,a,b
afrimmlu_amh_0,0.63796276,0.57546014
afrimmlu_amh_1,0.78467363,-0.8360492
afrimmlu_amh_10,0.70331436,0.15601648
afrimmlu_amh_100,0.63796276,0.57546014
afrimmlu_amh_101,0.78048235,0.67955106
afrimmlu_amh_102,0.7669072,-0.31470987
afrimmlu_amh_103,0.569069,0.93756896
afrimmlu_amh_104,0.59555566,0.54006904
afrimmlu_amh_105,0.7669072,-0.31470987
afrimmlu_amh_106,0.6228919,0.5631122
afrimmlu_amh_107,0.65846074,1.4965177
afrimmlu_amh_108,0.7669072,-0.31470987
afrimmlu_amh_109,0.78467363,-0.8360492
afrimmlu_amh_11,0.78048235,0.67955106
afrimmlu_amh_110,0.7588654,0.18015368
afrimmlu_amh_111,0.78467363,-0.8360492
afrimmlu_amh_112,0.78467363,-0.8360492
afrimmlu_amh_113,0.7055731,1.0943229
afrimmlu_amh_114,0.7404723,0.17231084
afrimmlu_amh_115,0.78467363,-0.8360492
afrimmlu_amh_116,0.78467363,-0.8360492
afrimmlu_amh_117,0.7283728,-0.32004657
afrimmlu_amh_118,0.7588654,0.18015368
afrimmlu_amh_119,0.78467363,-0.8360492
afrimmlu_amh_12,0.78467363,-0.8360492
afrimmlu_amh_120,0.63796276,0.57546014
afrimmlu_amh_121,0.7669072,-0.31470987
afrimmlu_amh_122,0.7669072,-0.31470987
afrimmlu_amh_123,0.7588654,0.18015368
afrimmlu_amh_124,0.78467363,-0.8360492
afrimmlu_amh_125,0.78467363,-0.8360492
afrimmlu_amh_126,0.78467363,-0.8360492
afrimmlu_amh_127,0.65846074,1.4965177
afrimmlu_amh_128,0.78467363,-0.8360492
afrimmlu_amh_129,0.78467363,-0.8360492
afrimmlu_amh_13,0.6101059,-0.33277762
afrimmlu_amh_130,0.7669072,-0.31470987
afrimmlu_amh_131,0.78467363,-0.8360492
afrimmlu_amh_132,0.7669072,-0.31470987
afrimmlu_amh_133,0.545274,0.90647614
afrimmlu_amh_134,0.5102664,0.463077
afrimmlu_amh_135,0.78048235,0.67955106
afrimmlu_amh_136,0.7588654,0.18015368
afrimmlu_amh_137,0.78048235,0.67955106
afrimmlu_amh_138,0.7669072,-0.31470987
afrimmlu_amh_139,0.78467363,-0.8360492
afrimmlu_amh_14,0.78048235,0.67955106
afrimmlu_amh_140,0.78467363,-0.8360492
afrimmlu_amh_141,0.65846074,1.4965177
afrimmlu_amh_142,0.78467363,-0.8360492
afrimmlu_amh_143,0.78467363,-0.8360492
afrimmlu_amh_144,0.7669072,-0.31470987
afrimmlu_amh_145,0.7055731,1.0943229
afrimmlu_amh_146,0.7669072,-0.31470987
afrimmlu_amh_147,0.7588654,0.18015368
afrimmlu_amh_148,0.78467363,-0.8360492
afrimmlu_amh_149,0.6521035,0.5868134
afrimmlu_amh_15,0.7119467,-0.32218784
afrimmlu_amh_150,0.78467363,-0.8360492
afrimmlu_amh_151,0.61369306,0.1146902
afrimmlu_amh_152,0.7669072,-0.31470987
afrimmlu_amh_153,0.78048235,0.67955106
afrimmlu_amh_154,0.78467363,-0.8360492
afrimmlu_amh_155,0.65846074,1.4965177
afrimmlu_amh_156,0.78467363,-0.8360492
afrimmlu_amh_157,0.5973076,-0.33366892
afrimmlu_amh_158,0.7669072,-0.31470987
afrimmlu_amh_159,0.7669072,-0.31470987
afrimmlu_amh_16,0.78467363,-0.8360492
afrimmlu_amh_160,0.65846074,1.4965177
afrimmlu_amh_161,0.78467363,-0.8360492
afrimmlu_amh_162,0.78467363,-0.8360492
afrimmlu_amh_163,0.7119467,-0.32218784
afrimmlu_amh_164,0.78048235,0.67955106
afrimmlu_amh_165,0.569069,0.93756896
afrimmlu_amh_166,0.78467363,-0.8360492
afrimmlu_amh_167,0.7588654,0.18015368
afrimmlu_amh_168,0.7404723,0.17231084
afrimmlu_amh_169,0.78048235,0.67955106
afrimmlu_amh_17,0.78467363,-0.8360492
afrimmlu_amh_170,0.78467363,-0.8360492
afrimmlu_amh_171,0.7588654,0.18015368
afrimmlu_amh_172,0.78467363,-0.8360492
afrimmlu_amh_173,0.7588654,0.18015368
afrimmlu_amh_174,0.59555566,0.54006904
afrimmlu_amh_175,0.7669072,-0.31470987
afrimmlu_amh_176,0.78467363,-0.8360492
afrimmlu_amh_177,0.78467363,-0.8360492
afrimmlu_amh_178,0.7588654,0.18015368
afrimmlu_amh_179,0.7669072,-0.31470987
afrimmlu_amh_18,0.78467363,-0.8360492
afrimmlu_amh_180,0.7588654,0.18015368
afrimmlu_amh_181,0.78467363,-0.8360492
afrimmlu_amh_182,0.7669072,-0.31470987
afrimmlu_amh_183,0.78467363,-0.8360492
afrimmlu_amh_184,0.78048235,0.67955106
afrimmlu_amh_185,0.78467363,-0.8360492
afrimmlu_amh_186,0.65846074,1.4965177
afrimmlu_amh_187,0.70331436,0.15601648
afrimmlu_amh_188,0.7588654,0.18015368
afrimmlu_amh_189,0.7404723,0.17231084
afrimmlu_amh_19,0.7669072,-0.31470987
afrimmlu_amh_190,0.545274,0.90647614
afrimmlu_amh_191,0.7283728,-0.32004657
afrimmlu_amh_192,0.78467363,-0.8360492
afrimmlu_amh_193,0.78467363,-0.8360492
afrimmlu_amh_194,0.7669072,-0.31470987
afrimmlu_amh_195,0.78467363,-0.8360492
afrimmlu_amh_196,0.78467363,-0.8360492
afrimmlu_amh_197,0.78467363,-0.8360492
afrimmlu_amh_198,0.7404723,0.17231084
afrimmlu_amh_199,0.7283728,-0.32004657
afrimmlu_amh_2,0.78467363,-0.8360492
afrimmlu_amh_20,0.78048235,0.67955106
afrimmlu_amh_200,0.78467363,-0.8360492
afrimmlu_amh_201,0.7283728,-0.32004657
afrimmlu_amh_202,0.78467363,-0.8360492
afrimmlu_amh_203,0.7283728,-0.32004657
afrimmlu_amh_204,0.7588654,0.18015368
afrimmlu_amh_205,0.7283728,-0.32004657
afrimmlu_amh_206,0.78467363,-0.8360492
afrimmlu_amh_207,0.78467363,-0.8360492
afrimmlu_amh_208,0.78467363,-0.8360492
afrimmlu_amh_209,0.7669072,-0.31470987
afrimmlu_amh_21,0.7669072,-0.31470987
afrimmlu_amh_210,0.78467363,-0.8360492
afrimmlu_amh_211,0.7669072,-0.31470987
afrimmlu_amh_212,0.70331436,0.15601648
afrimmlu_amh_213,0.5772531,0.09734904
afrimmlu_amh_214,0.5895321,0.10321131
afrimmlu_amh_215,0.78467363,-0.8360492
afrimmlu_amh_216,0.78467363,-0.8360492
afrimmlu_amh_217,0.7669072,-0.31470987
afrimmlu_amh_218,0.65846074,1.4965177
afrimmlu_amh_219,0.7119467,-0.32218784
afrimmlu_amh_22,0.78467363,-0.8360492
afrimmlu_amh_220,0.7119467,-0.32218784
afrimmlu_amh_221,0.78467363,-0.8360492
afrimmlu_amh_222,0.7588654,0.18015368
afrimmlu_amh_223,0.7283728,-0.32004657
afrimmlu_amh_224,0.78048235,0.67955106
afrimmlu_amh_225,0.78467363,-0.8360492
afrimmlu_amh_226,0.7404723,0.17231084
afrimmlu_amh_227,0.7669072,-0.31470987
afrimmlu_amh_228,0.78467363,-0.8360492
afrimmlu_amh_229,0.5895321,0.10321131
afrimmlu_amh_23,0.78467363,-0.8360492
afrimmlu_amh_230,0.78467363,-0.8360492
afrimmlu_amh_231,0.78467363,-0.8360492
afrimmlu_amh_232,0.78467363,-0.8360492
afrimmlu_amh_233,0.78467363,-0.8360492
