,a,b
afrixnli_amh_0,0.80420583,-0.8923034
afrixnli_amh_1,0.7467643,1.4440738
afrixnli_amh_10,0.80420583,-0.8923034
afrixnli_amh_100,0.63346595,0.89606524
afrixnli_amh_101,0.69540447,0.056891445
afrixnli_amh_102,0.80420583,-0.8923034
afrixnli_amh_103,0.7635237,0.08207443
afrixnli_amh_104,0.69540447,0.056891445
afrixnli_amh_105,0.7602274,-0.39185357
afrixnli_amh_106,0.80420583,-0.8923034
afrixnli_amh_107,0.7602274,-0.39185357
afrixnli_amh_108,0.6800837,0.49539727
afrixnli_amh_109,0.80420583,-0.8923034
afrixnli_amh_11,0.7635237,0.08207443
afrixnli_amh_110,0.7059342,0.06079441
afrixnli_amh_111,0.80420583,-0.8923034
afrixnli_amh_112,0.7479983,0.5339449
afrixnli_amh_113,0.69565564,-0.40068328
afrixnli_amh_114,0.69565564,-0.40068328
afrixnli_amh_115,0.62752295,0.46276397
afrixnli_amh_116,0.69565564,-0.40068328
afrixnli_amh_117,0.73473793,0.5267357
afrixnli_amh_118,0.7479983,0.5339449
afrixnli_amh_119,0.7611757,-0.39170244
afrixnli_amh_12,0.70679575,0.06111377
afrixnli_amh_120,0.59398746,0.019788202
afrixnli_amh_121,0.7059342,0.06079441
afrixnli_amh_122,0.69565564,-0.40068328
afrixnli_amh_123,0.7602274,-0.39185357
afrixnli_amh_124,0.7635237,0.08207443
afrixnli_amh_125,0.6021625,0.022713147
afrixnli_amh_126,0.80420583,-0.8923034
afrixnli_amh_127,0.70651853,-0.39941782
afrixnli_amh_128,0.80420583,-0.8923034
afrixnli_amh_129,0.69565564,-0.40068328
afrixnli_amh_13,0.69565564,-0.40068328
afrixnli_amh_130,0.7059342,0.06079441
afrixnli_amh_131,0.59398746,0.019788202
afrixnli_amh_132,0.80420583,-0.8923034
afrixnli_amh_133,0.80420583,-0.8923034
afrixnli_amh_134,0.80420583,-0.8923034
afrixnli_amh_135,0.80420583,-0.8923034
afrixnli_amh_136,0.80420583,-0.8923034
afrixnli_amh_137,0.7479983,0.5339449
afrixnli_amh_138,0.57967764,0.43094468
afrixnli_amh_139,0.69457096,0.056582592
afrixnli_amh_14,0.7602274,-0.39185357
afrixnli_amh_140,0.7479983,0.5339449
afrixnli_amh_141,0.7635237,0.08207443
afrixnli_amh_142,0.80420583,-0.8923034
afrixnli_amh_143,0.80420583,-0.8923034
afrixnli_amh_144,0.73473793,0.5267357
afrixnli_amh_145,0.7611757,-0.39170244
afrixnli_amh_146,0.7059342,0.06079441
afrixnli_amh_147,0.80420583,-0.8923034
afrixnli_amh_148,0.7635237,0.08207443
afrixnli_amh_149,0.80420583,-0.8923034
afrixnli_amh_15,0.7602274,-0.39185357
afrixnli_amh_150,0.7611757,-0.39170244
afrixnli_amh_151,0.80420583,-0.8923034
afrixnli_amh_152,0.62752295,0.46276397
afrixnli_amh_153,0.69565564,-0.40068328
afrixnli_amh_154,0.7611757,-0.39170244
afrixnli_amh_155,0.7635237,0.08207443
afrixnli_amh_156,0.80420583,-0.8923034
afrixnli_amh_157,0.80420583,-0.8923034
afrixnli_amh_158,0.63420725,0.89673305
afrixnli_amh_159,0.63346595,0.89606524
afrixnli_amh_16,0.70679575,0.06111377
afrixnli_amh_160,0.80420583,-0.8923034
afrixnli_amh_161,0.80420583,-0.8923034
afrixnli_amh_162,0.80420583,-0.8923034
afrixnli_amh_163,0.7635237,0.08207443
afrixnli_amh_164,0.80420583,-0.8923034
afrixnli_amh_165,0.63346595,0.89606524
afrixnli_amh_166,0.80420583,-0.8923034
afrixnli_amh_167,0.70651853,-0.39941782
afrixnli_amh_168,0.80420583,-0.8923034
afrixnli_amh_169,0.80420583,-0.8923034
afrixnli_amh_17,0.69457096,0.056582592
afrixnli_amh_170,0.80420583,-0.8923034
afrixnli_amh_171,0.67925465,0.49490166
afrixnli_amh_172,0.7635237,0.08207443
afrixnli_amh_173,0.64743423,0.03917148
afrixnli_amh_174,0.63346595,0.89606524
afrixnli_amh_175,0.7467643,1.4440738
afrixnli_amh_176,0.80420583,-0.8923034
afrixnli_amh_177,0.69565564,-0.40068328
afrixnli_amh_178,0.73473793,0.5267357
afrixnli_amh_179,0.80420583,-0.8923034
afrixnli_amh_18,0.80420583,-0.8923034
afrixnli_amh_180,0.69540447,0.056891445
afrixnli_amh_181,0.80420583,-0.8923034
afrixnli_amh_182,0.7635237,0.08207443
afrixnli_amh_183,0.7602274,-0.39185357
afrixnli_amh_184,0.69457096,0.056582592
afrixnli_amh_185,0.7611757,-0.39170244
afrixnli_amh_186,0.69565564,-0.40068328
afrixnli_amh_187,0.7602274,-0.39185357
afrixnli_amh_188,0.7635237,0.08207443
afrixnli_amh_189,0.80420583,-0.8923034
afrixnli_amh_19,0.7602274,-0.39185357
afrixnli_amh_190,0.80420583,-0.8923034
afrixnli_amh_191,0.7602274,-0.39185357
afrixnli_amh_192,0.80420583,-0.8923034
afrixnli_amh_193,0.7611757,-0.39170244
afrixnli_amh_194,0.7059342,0.06079441
afrixnli_amh_195,0.7602274,-0.39185357
afrixnli_amh_196,0.70679575,0.06111377
afrixnli_amh_197,0.69565564,-0.40068328
afrixnli_amh_198,0.80420583,-0.8923034
afrixnli_amh_199,0.80420583,-0.8923034
afrixnli_amh_2,0.7602274,-0.39185357
afrixnli_amh_20,0.80420583,-0.8923034
afrixnli_amh_200,0.70651853,-0.39941782
afrixnli_amh_201,0.7611757,-0.39170244
afrixnli_amh_202,0.70651853,-0.39941782
afrixnli_amh_203,0.7479983,0.5339449
afrixnli_amh_204,0.6182554,0.45675644
afrixnli_amh_205,0.7611757,-0.39170244
afrixnli_amh_206,0.80420583,-0.8923034
afrixnli_amh_207,0.59398746,0.019788202
afrixnli_amh_208,0.7467643,1.4440738
afrixnli_amh_209,0.7602274,-0.39185357
afrixnli_amh_21,0.6182554,0.45675644
afrixnli_amh_210,0.7611757,-0.39170244
afrixnli_amh_211,0.6182554,0.45675644
afrixnli_amh_212,0.7608128,0.996307
afrixnli_amh_213,0.73473793,0.5267357
afrixnli_amh_214,0.70651853,-0.39941782
afrixnli_amh_215,0.7059342,0.06079441
afrixnli_amh_216,0.80420583,-0.8923034
afrixnli_amh_217,0.7602274,-0.39185357
afrixnli_amh_218,0.80420583,-0.8923034
afrixnli_amh_219,0.7635237,0.08207443
afrixnli_amh_22,0.80420583,-0.8923034
afrixnli_amh_220,0.7602274,-0.39185357
afrixnli_amh_221,0.69540447,0.056891445
afrixnli_amh_222,0.69540447,0.056891445
afrixnli_amh_223,0.69457096,0.056582592
afrixnli_amh_224,0.7467643,1.4440738
afrixnli_amh_225,0.80420583,-0.8923034
afrixnli_amh_226,0.80420583,-0.8923034
afrixnli_amh_227,0.7602274,-0.39185357
afrixnli_amh_228,0.7635237,0.08207443
afrixnli_amh_229,0.80420583,-0.8923034
afrixnli_amh_23,0.7602274,-0.39185357
afrixnli_amh_230,0.68292916,0.9383759
afrixnli_amh_231,0.69565564,-0.40068328
afrixnli_amh_232,0.7611757,-0.39170244
afrixnli_amh_233,0.69540447,0.056891445
afrixnli_amh_234,0.69540447,0.056891445
afrixnli_amh_235,0.7635237,0.08207443
afrixnli_amh_236,0.7479983,0.5339449
afrixnli_amh_237,0.7611757,-0.39170244
afrixnli_amh_238,0.73473793,0.5267357
afrixnli_amh_239,0.7635237,0.08207443
afrixnli_amh_24,0.70651853,-0.39941782
afrixnli_amh_240,0.80420583,-0.8923034
afrixnli_amh_241,0.7467643,1.4440738
afrixnli_amh_242,0.80420583,-0.8923034
afrixnli_amh_243,0.69565564,-0.40068328
afrixnli_amh_244,0.70651853,-0.39941782
afrixnli_amh_245,0.7611757,-0.39170244
afrixnli_amh_246,0.80420583,-0.8923034
afrixnli_amh_247,0.80420583,-0.8923034
afrixnli_amh_248,0.7611757,-0.39170244
afrixnli_amh_249,0.80420583,-0.8923034
afrixnli_amh_25,0.6021625,0.022713147
afrixnli_amh_250,0.80420583,-0.8923034
afrixnli_amh_251,0.7608128,0.996307
afrixnli_amh_252,0.69565564,-0.40068328
afrixnli_amh_253,0.7611757,-0.39170244
afrixnli_amh_254,0.80420583,-0.8923034
afrixnli_amh_255,0.7635237,0.08207443
afrixnli_amh_256,0.80420583,-0.8923034
afrixnli_amh_257,0.7635237,0.08207443
afrixnli_amh_258,0.80420583,-0.8923034
afrixnli_amh_259,0.69565564,-0.40068328
afrixnli_amh_26,0.70679575,0.06111377
afrixnli_amh_260,0.7602274,-0.39185357
afrixnli_amh_261,0.62752295,0.46276397
afrixnli_amh_262,0.7611757,-0.39170244
afrixnli_amh_263,0.7608128,0.996307
afrixnli_amh_264,0.7611757,-0.39170244
afrixnli_amh_265,0.69565564,-0.40068328
afrixnli_amh_266,0.7479983,0.5339449
afrixnli_amh_267,0.7611757,-0.39170244
afrixnli_amh_268,0.80420583,-0.8923034
afrixnli_amh_269,0.80420583,-0.8923034
afrixnli_amh_27,0.80420583,-0.8923034
afrixnli_amh_270,0.80420583,-0.8923034
afrixnli_amh_271,0.7479983,0.5339449
afrixnli_amh_272,0.80420583,-0.8923034
afrixnli_amh_273,0.80420583,-0.8923034
afrixnli_amh_274,0.7467643,1.4440738
afrixnli_amh_275,0.7467643,1.4440738
afrixnli_amh_276,0.73473793,0.5267357
afrixnli_amh_277,0.80420583,-0.8923034
afrixnli_amh_278,0.7635237,0.08207443
afrixnli_amh_279,0.80420583,-0.8923034
afrixnli_amh_28,0.80420583,-0.8923034
afrixnli_amh_280,0.80420583,-0.8923034
afrixnli_amh_281,0.80420583,-0.8923034
afrixnli_amh_282,0.80420583,-0.8923034
afrixnli_amh_283,0.80420583,-0.8923034
afrixnli_amh_284,0.6424385,0.037338115
afrixnli_amh_285,0.7602274,-0.39185357
afrixnli_amh_286,0.80420583,-0.8923034
afrixnli_amh_287,0.80420583,-0.8923034
afrixnli_amh_288,0.80420583,-0.8923034
afrixnli_amh_289,0.70651853,-0.39941782
afrixnli_amh_29,0.80420583,-0.8923034
afrixnli_amh_290,0.57967764,0.43094468
afrixnli_amh_291,0.80420583,-0.8923034
afrixnli_amh_292,0.7635237,0.08207443
afrixnli_amh_293,0.69457096,0.056582592
afrixnli_amh_294,0.7635237,0.08207443
afrixnli_amh_295,0.80420583,-0.8923034
afrixnli_amh_296,0.70651853,-0.39941782
afrixnli_amh_297,0.7635237,0.08207443
afrixnli_amh_298,0.59398746,0.019788202
afrixnli_amh_299,0.6743284,0.49194366
afrixnli_amh_3,0.80420583,-0.8923034
afrixnli_amh_30,0.57967764,0.43094468
afrixnli_amh_300,0.6947077,0.9477968
afrixnli_amh_301,0.80420583,-0.8923034
afrixnli_amh_302,0.80420583,-0.8923034
afrixnli_amh_303,0.7611757,-0.39170244
afrixnli_amh_304,0.7635237,0.08207443
afrixnli_amh_305,0.7602274,-0.39185357
afrixnli_amh_306,0.69540447,0.056891445
afrixnli_amh_307,0.80420583,-0.8923034
afrixnli_amh_308,0.7611757,-0.39170244
afrixnli_amh_309,0.80420583,-0.8923034
afrixnli_amh_31,0.67925465,0.49490166
afrixnli_amh_310,0.80420583,-0.8923034
afrixnli_amh_311,0.73473793,0.5267357
afrixnli_amh_312,0.80420583,-0.8923034
afrixnli_amh_313,0.70679575,0.06111377
afrixnli_amh_314,0.69565564,-0.40068328
afrixnli_amh_315,0.7602274,-0.39185357
afrixnli_amh_316,0.80420583,-0.8923034
afrixnli_amh_317,0.69565564,-0.40068328
afrixnli_amh_318,0.7602274,-0.39185357
afrixnli_amh_319,0.7611757,-0.39170244
afrixnli_amh_32,0.70679575,0.06111377
afrixnli_amh_320,0.7611757,-0.39170244
afrixnli_amh_321,0.80420583,-0.8923034
afrixnli_amh_322,0.80420583,-0.8923034
afrixnli_amh_323,0.70679575,0.06111377
afrixnli_amh_324,0.69540447,0.056891445
