,a,b
belebele_amh_0,0.69161004,-0.29073063
belebele_amh_1,0.69161004,-0.29073063
belebele_amh_10,0.69447774,0.17480274
belebele_amh_100,0.73943514,0.6612007
belebele_amh_101,0.6959062,0.62772906
belebele_amh_102,0.7282954,0.19395256
belebele_amh_103,0.80522317,-0.77776045
belebele_amh_104,0.7642891,-0.2684724
belebele_amh_105,0.6959062,0.62772906
belebele_amh_106,0.80522317,-0.77776045
belebele_amh_107,0.7477486,1.1223401
belebele_amh_108,0.7642891,-0.2684724
belebele_amh_109,0.6959062,0.62772906
belebele_amh_11,0.69161004,-0.29073063
belebele_amh_110,0.6054193,0.55167013
belebele_amh_111,0.7642891,-0.2684724
belebele_amh_112,0.7241757,-0.28113684
belebele_amh_113,0.7477486,1.1223401
belebele_amh_114,0.69161004,-0.29073063
belebele_amh_115,0.6078216,0.12522739
belebele_amh_116,0.80522317,-0.77776045
belebele_amh_117,0.6348883,-0.3055597
belebele_amh_118,0.6933035,0.1741344
belebele_amh_119,0.6933035,0.1741344
belebele_amh_12,0.80522317,-0.77776045
belebele_amh_120,0.7477486,1.1223401
belebele_amh_121,0.6959062,0.62772906
belebele_amh_122,0.6959062,0.62772906
belebele_amh_123,0.7241757,-0.28113684
belebele_amh_124,0.80522317,-0.77776045
belebele_amh_125,0.6959062,0.62772906
belebele_amh_126,0.80522317,-0.77776045
belebele_amh_127,0.80522317,-0.77776045
belebele_amh_128,0.7163239,1.5429639
belebele_amh_129,0.80522317,-0.77776045
belebele_amh_13,0.6933035,0.1741344
belebele_amh_130,0.7642891,-0.2684724
belebele_amh_131,0.7293594,-0.27954894
belebele_amh_132,0.80522317,-0.77776045
belebele_amh_133,0.80522317,-0.77776045
belebele_amh_134,0.80522317,-0.77776045
belebele_amh_135,0.6959062,0.62772906
belebele_amh_136,0.80522317,-0.77776045
belebele_amh_137,0.80522317,-0.77776045
belebele_amh_138,0.7477486,1.1223401
belebele_amh_139,0.80522317,-0.77776045
belebele_amh_14,0.6933035,0.1741344
belebele_amh_140,0.80522317,-0.77776045
belebele_amh_141,0.7642891,-0.2684724
belebele_amh_142,0.6933035,0.1741344
belebele_amh_143,0.6959062,0.62772906
belebele_amh_144,0.69447774,0.17480274
belebele_amh_145,0.6933035,0.1741344
belebele_amh_146,0.7642891,-0.2684724
belebele_amh_147,0.7477486,1.1223401
belebele_amh_148,0.80522317,-0.77776045
belebele_amh_149,0.7163239,1.5429639
belebele_amh_15,0.7642891,-0.2684724
belebele_amh_150,0.80522317,-0.77776045
belebele_amh_151,0.80522317,-0.77776045
belebele_amh_152,0.6959062,0.62772906
belebele_amh_153,0.80522317,-0.77776045
belebele_amh_154,0.7241757,-0.28113684
belebele_amh_155,0.7642891,-0.2684724
belebele_amh_156,0.80522317,-0.77776045
belebele_amh_157,0.80522317,-0.77776045
belebele_amh_158,0.69161004,-0.29073063
belebele_amh_159,0.7642891,-0.2684724
belebele_amh_16,0.7642891,-0.2684724
belebele_amh_160,0.80522317,-0.77776045
belebele_amh_161,0.80522317,-0.77776045
belebele_amh_162,0.80522317,-0.77776045
belebele_amh_163,0.73943514,0.6612007
belebele_amh_164,0.7642891,-0.2684724
belebele_amh_165,0.80522317,-0.77776045
belebele_amh_166,0.80522317,-0.77776045
belebele_amh_167,0.69447774,0.17480274
belebele_amh_168,0.80522317,-0.77776045
belebele_amh_169,0.66330975,0.60132694
belebele_amh_17,0.80522317,-0.77776045
belebele_amh_170,0.7642891,-0.2684724
belebele_amh_171,0.73943514,0.6612007
belebele_amh_172,0.69447774,0.17480274
belebele_amh_173,0.80522317,-0.77776045
belebele_amh_174,0.7163239,1.5429639
belebele_amh_175,0.80522317,-0.77776045
belebele_amh_176,0.7282954,0.19395256
belebele_amh_177,0.6933035,0.1741344
belebele_amh_178,0.80522317,-0.77776045
belebele_amh_179,0.80522317,-0.77776045
belebele_amh_18,0.80522317,-0.77776045
belebele_amh_180,0.80522317,-0.77776045
belebele_amh_181,0.7477486,1.1223401
belebele_amh_182,0.7642891,-0.2684724
belebele_amh_183,0.80522317,-0.77776045
belebele_amh_184,0.80522317,-0.77776045
belebele_amh_185,0.7282954,0.19395256
belebele_amh_186,0.6933035,0.1741344
belebele_amh_187,0.7282954,0.19395256
belebele_amh_188,0.7642891,-0.2684724
belebele_amh_189,0.80522317,-0.77776045
belebele_amh_19,0.7338966,0.19710252
belebele_amh_190,0.80522317,-0.77776045
belebele_amh_191,0.80522317,-0.77776045
belebele_amh_192,0.80522317,-0.77776045
belebele_amh_193,0.80522317,-0.77776045
belebele_amh_194,0.80522317,-0.77776045
belebele_amh_195,0.5802779,0.10954206
belebele_amh_196,0.65816486,0.15406066
belebele_amh_197,0.80522317,-0.77776045
belebele_amh_198,0.80522317,-0.77776045
belebele_amh_199,0.7642891,-0.2684724
belebele_amh_2,0.80522317,-0.77776045
belebele_amh_20,0.80522317,-0.77776045
belebele_amh_200,0.6959062,0.62772906
belebele_amh_201,0.7241757,-0.28113684
belebele_amh_202,0.80522317,-0.77776045
belebele_amh_203,0.69447774,0.17480274
belebele_amh_204,0.7282954,0.19395256
belebele_amh_205,0.80522317,-0.77776045
belebele_amh_206,0.80522317,-0.77776045
belebele_amh_207,0.80522317,-0.77776045
belebele_amh_208,0.80522317,-0.77776045
belebele_amh_209,0.7241757,-0.28113684
belebele_amh_21,0.73943514,0.6612007
belebele_amh_210,0.7293594,-0.27954894
belebele_amh_211,0.80522317,-0.77776045
belebele_amh_212,0.80522317,-0.77776045
belebele_amh_213,0.80522317,-0.77776045
belebele_amh_214,0.80522317,-0.77776045
belebele_amh_215,0.80522317,-0.77776045
belebele_amh_216,0.80522317,-0.77776045
belebele_amh_217,0.7163239,1.5429639
belebele_amh_218,0.63821864,1.012501
belebele_amh_219,0.7163239,1.5429639
belebele_amh_22,0.6710693,1.0479506
belebele_amh_220,0.80522317,-0.77776045
belebele_amh_221,0.6933035,0.1741344
belebele_amh_222,0.7241757,-0.28113684
belebele_amh_223,0.7282954,0.19395256
belebele_amh_224,0.7642891,-0.2684724
belebele_amh_225,0.7282954,0.19395256
belebele_amh_226,0.6078216,0.12522739
belebele_amh_227,0.69447774,0.17480274
belebele_amh_228,0.7642891,-0.2684724
belebele_amh_229,0.7642891,-0.2684724
belebele_amh_23,0.7338966,0.19710252
belebele_amh_230,0.7241757,-0.28113684
belebele_amh_231,0.80522317,-0.77776045
belebele_amh_232,0.80522317,-0.77776045
belebele_amh_233,0.80522317,-0.77776045
belebele_amh_234,0.7293594,-0.27954894
belebele_amh_235,0.80522317,-0.77776045
belebele_amh_236,0.7642891,-0.2684724
belebele_amh_237,0.80522317,-0.77776045
belebele_amh_238,0.7293594,-0.27954894
belebele_amh_239,0.7282954,0.19395256
belebele_amh_24,0.73943514,0.6612007
belebele_amh_240,0.80522317,-0.77776045
belebele_amh_241,0.69161004,-0.29073063
belebele_amh_242,0.80522317,-0.77776045
belebele_amh_243,0.80522317,-0.77776045
belebele_amh_244,0.80522317,-0.77776045
belebele_amh_245,0.7282954,0.19395256
belebele_amh_246,0.80522317,-0.77776045
belebele_amh_247,0.80522317,-0.77776045
belebele_amh_248,0.80522317,-0.77776045
belebele_amh_249,0.80522317,-0.77776045
belebele_amh_25,0.7477486,1.1223401
belebele_amh_250,0.80522317,-0.77776045
belebele_amh_251,0.7642891,-0.2684724
belebele_amh_252,0.80522317,-0.77776045
belebele_amh_253,0.80522317,-0.77776045
belebele_amh_254,0.6078216,0.12522739
belebele_amh_255,0.6933035,0.1741344
belebele_amh_256,0.80522317,-0.77776045
belebele_amh_257,0.80522317,-0.77776045
belebele_amh_258,0.80522317,-0.77776045
belebele_amh_259,0.6710693,1.0479506
belebele_amh_26,0.7282954,0.19395256
belebele_amh_260,0.7241757,-0.28113684
belebele_amh_261,0.65816486,0.15406066
belebele_amh_262,0.69447774,0.17480274
belebele_amh_263,0.80522317,-0.77776045
belebele_amh_264,0.6959062,0.62772906
belebele_amh_265,0.80522317,-0.77776045
belebele_amh_266,0.80522317,-0.77776045
belebele_amh_267,0.80522317,-0.77776045
belebele_amh_268,0.80522317,-0.77776045
belebele_amh_269,0.6933035,0.1741344
belebele_amh_27,0.7282954,0.19395256
belebele_amh_270,0.80522317,-0.77776045
