,a,b
sib_amh_0,0.78793126,-0.41532964
sib_amh_1,0.78793126,-0.41532964
sib_amh_10,0.78793126,-0.41532964
sib_amh_100,0.78793126,-0.41532964
sib_amh_101,0.78793126,-0.41532964
sib_amh_102,0.78793126,-0.41532964
sib_amh_103,0.78793126,-0.41532964
sib_amh_104,0.78793126,-0.41532964
sib_amh_105,0.78793126,-0.41532964
sib_amh_106,0.78793126,-0.41532964
sib_amh_107,0.78793126,-0.41532964
sib_amh_108,0.78793126,-0.41532964
sib_amh_109,0.78793126,-0.41532964
sib_amh_11,0.706751,0.10293185
sib_amh_110,0.78793126,-0.41532964
sib_amh_111,0.78793126,-0.41532964
sib_amh_112,0.78793126,-0.41532964
sib_amh_113,0.78793126,-0.41532964
sib_amh_114,0.78793126,-0.41532964
sib_amh_115,0.78793126,-0.41532964
sib_amh_116,0.78793126,-0.41532964
sib_amh_117,0.78793126,-0.41532964
sib_amh_118,0.78793126,-0.41532964
sib_amh_119,0.78793126,-0.41532964
sib_amh_12,0.78793126,-0.41532964
sib_amh_120,0.67854804,0.5783185
sib_amh_121,0.78793126,-0.41532964
sib_amh_122,0.78793126,-0.41532964
sib_amh_123,0.78793126,-0.41532964
sib_amh_124,0.78793126,-0.41532964
sib_amh_125,0.78793126,-0.41532964
sib_amh_126,0.6566825,0.059603743
sib_amh_127,0.78793126,-0.41532964
sib_amh_128,0.78793126,-0.41532964
sib_amh_129,0.78793126,-0.41532964
sib_amh_13,0.7096046,0.10541948
sib_amh_130,0.78793126,-0.41532964
sib_amh_131,0.6303697,0.97473395
sib_amh_132,0.78793126,-0.41532964
sib_amh_133,0.78793126,-0.41532964
sib_amh_134,0.78793126,-0.41532964
sib_amh_135,0.78793126,-0.41532964
sib_amh_136,0.78793126,-0.41532964
sib_amh_137,0.6303697,0.97473395
sib_amh_138,0.78793126,-0.41532964
sib_amh_139,0.56108177,1.6892787
sib_amh_14,0.78793126,-0.41532964
sib_amh_140,0.78793126,-0.41532964
sib_amh_141,0.78793126,-0.41532964
sib_amh_142,0.78793126,-0.41532964
sib_amh_143,0.78793126,-0.41532964
sib_amh_144,0.5506254,0.8343338
sib_amh_145,0.6250029,0.50746787
sib_amh_146,0.78793126,-0.41532964
sib_amh_147,0.78793126,-0.41532964
sib_amh_148,0.7096046,0.10541948
sib_amh_149,0.5848147,1.3261219
sib_amh_15,0.706751,0.10293185
sib_amh_150,0.78793126,-0.41532964
sib_amh_151,0.78793126,-0.41532964
sib_amh_152,0.78793126,-0.41532964
sib_amh_153,0.78793126,-0.41532964
sib_amh_154,0.67854804,0.5783185
sib_amh_155,0.5093866,1.1586474
sib_amh_156,0.78793126,-0.41532964
sib_amh_157,0.5560217,0.8440483
sib_amh_158,0.78793126,-0.41532964
sib_amh_159,0.6303697,0.97473395
sib_amh_16,0.78793126,-0.41532964
sib_amh_160,0.6320151,0.03857096
sib_amh_161,0.78793126,-0.41532964
sib_amh_162,0.78793126,-0.41532964
sib_amh_163,0.56108177,1.6892787
sib_amh_164,0.706751,0.10293185
sib_amh_165,0.78793126,-0.41532964
sib_amh_166,0.78793126,-0.41532964
sib_amh_167,0.78793126,-0.41532964
sib_amh_168,0.78793126,-0.41532964
sib_amh_169,0.78793126,-0.41532964
sib_amh_17,0.78793126,-0.41532964
sib_amh_170,0.78793126,-0.41532964
sib_amh_171,0.53761923,0.39087477
sib_amh_172,0.78793126,-0.41532964
sib_amh_173,0.78793126,-0.41532964
sib_amh_174,0.6261891,0.03364378
sib_amh_175,0.78793126,-0.41532964
sib_amh_176,0.78793126,-0.41532964
sib_amh_177,0.78793126,-0.41532964
sib_amh_178,0.56108177,1.6892787
sib_amh_179,0.56108177,1.6892787
sib_amh_18,0.6274433,0.51071554
sib_amh_180,0.78793126,-0.41532964
sib_amh_181,0.53015816,0.7972537
sib_amh_182,0.53015816,0.7972537
sib_amh_183,0.78793126,-0.41532964
sib_amh_184,0.56108177,1.6892787
sib_amh_185,0.78793126,-0.41532964
sib_amh_186,0.78793126,-0.41532964
sib_amh_187,0.6320151,0.03857096
sib_amh_188,0.6261891,0.03364378
sib_amh_189,0.78793126,-0.41532964
sib_amh_19,0.7096046,0.10541948
sib_amh_190,0.78793126,-0.41532964
sib_amh_191,0.59545404,0.9141437
sib_amh_192,0.56108177,1.6892787
sib_amh_193,0.78793126,-0.41532964
sib_amh_194,0.7096046,0.10541948
sib_amh_195,0.53201306,0.8006286
sib_amh_196,0.78793126,-0.41532964
sib_amh_197,0.78793126,-0.41532964
sib_amh_198,0.78793126,-0.41532964
sib_amh_199,0.7096046,0.10541948
sib_amh_2,0.78793126,-0.41532964
sib_amh_20,0.78793126,-0.41532964
sib_amh_200,0.6320151,0.03857096
sib_amh_201,0.78793126,-0.41532964
sib_amh_202,0.53761923,0.39087477
sib_amh_203,0.706751,0.10293185
sib_amh_21,0.78793126,-0.41532964
sib_amh_22,0.78793126,-0.41532964
sib_amh_23,0.53761923,0.39087477
sib_amh_24,0.78793126,-0.41532964
sib_amh_25,0.78793126,-0.41532964
sib_amh_26,0.78793126,-0.41532964
sib_amh_27,0.78793126,-0.41532964
sib_amh_28,0.78793126,-0.41532964
sib_amh_29,0.78793126,-0.41532964
sib_amh_3,0.78793126,-0.41532964
sib_amh_30,0.78793126,-0.41532964
sib_amh_31,0.78793126,-0.41532964
sib_amh_32,0.51128685,1.1630158
sib_amh_33,0.78793126,-0.41532964
sib_amh_34,0.78793126,-0.41532964
sib_amh_35,0.78793126,-0.41532964
sib_amh_36,0.78793126,-0.41532964
sib_amh_37,0.7096046,0.10541948
sib_amh_38,0.78793126,-0.41532964
sib_amh_39,0.78793126,-0.41532964
